domain,seed,step,backbone_id,patient_id,phases,n_volumes,n_slices,dice_rv,dice_myo,dice_lv,dice_mean,hd95_rv,hd95_myo,hd95_lv,hd95_mean
vendor_A_Siemens,1,1,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A0S9V9,ED|ES,2,26,0.8012558282993159,0.5181726655612986,0.7849013082228271,0.7014432673611471,2.5784388019908397,6.185929788388227,3.0,3.9214561967930224
vendor_A_Siemens,1,2,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A1D9Z7,ED|ES,2,26,1.3678603941390127e-10,0.006403501744833128,1.497759788236507e-10,0.0021345006771317154,300.8055409504779,140.48609240190416,541.0697736891241,327.45380234716873
vendor_A_Siemens,1,3,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A1E9Q1,ED|ES,2,26,0.7254467514284602,0.6850097231774783,0.7937151537219798,0.7347238761093061,6.482045581941128,4.837117307087384,3.1770509831248424,4.832071290717785
vendor_A_Siemens,1,4,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A2C0I1,ED|ES,2,24,0.5368357640722398,0.4229252909519649,0.47070362093668444,0.4768215586536297,9.835859547039027,5.850249919009553,4.304886114323222,6.663665193457267
vendor_A_Siemens,1,5,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A2L1N6,ED|ES,2,26,0.2374227308223848,0.0016706044769096975,1.5475766552656455e-10,0.07969777848468405,30.63131053182073,89.00758735276818,168.10313773274913,95.91401187244601
vendor_A_Siemens,1,6,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A2N8V0,ED|ES,2,22,0.5871315596351916,0.3219094835586074,0.5511508998040586,0.48673064766595253,5.919691670244127,7.265282593974021,3.5,5.561658088072716
vendor_A_Siemens,1,7,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A3H1O5,ED|ES,2,22,0.7643564797957285,0.46981446370041613,0.7445796524136556,0.6595835319699334,4.302775637731995,4.264990088181021,3.056797181058918,3.8748543023239783
vendor_A_Siemens,1,8,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A4B5U4,ED|ES,2,28,0.04116655265478793,0.2616019202642017,0.39346790090592293,0.23207879127497086,21.441055155697512,17.048900204990115,15.730072743401779,18.073342701363135
vendor_A_Siemens,1,9,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A4J4S4,ED|ES,2,22,1.9898673810051322e-10,2.0803527547707666e-10,2.3990073828012716e-10,2.156409172859057e-10,328.80700293231564,121.30857138274636,375.29629328891644,275.13728920132615
vendor_A_Siemens,1,10,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A4U9V5,ED|ES,2,24,0.06252170907209516,0.4219310373805121,0.5316790264086133,0.3387105909537402,287.4836750179095,5.847624305229566,4.5,99.27709977437968
vendor_A_Siemens,1,11,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A6B5G9,ED|ES,2,24,0.041115408474785,0.0032697549509269424,0.009530293050044741,0.017971818825252228,135.89495812588086,137.31307909686953,109.09136957750232,127.43313560008421
vendor_A_Siemens,1,12,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A6D5F9,ED|ES,2,26,1.0325397650801792e-10,0.12795566780460296,0.10358671141695006,0.077180793108269,162.95701870610714,115.74861409493387,32.043860726620174,103.5831645092204
vendor_A_Siemens,1,13,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A7D9L8,ED|ES,2,16,3.896012368068431e-10,1.859574150980025e-10,3.2255554586948716e-10,2.993713992581109e-10,540.9819775186601,135.0291839980859,150.41335139922276,275.4748376386562
vendor_A_Siemens,1,14,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A7M7P8,ED|ES,2,24,2.339845769170818e-10,1.1836093208602256e-10,2.2608560210630362e-10,1.9281037036980265e-10,143.43785571676156,90.24512836588372,129.76661585418668,121.14986664561066
vendor_A_Siemens,1,15,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,A7O4T6,ED|ES,2,24,9.758157440086352e-11,0.038938687830301244,0.07248683294683551,0.037141840291572775,93.32620442805057,96.32408695786097,70.4239292534517,86.69140687978775
vendor_A_Siemens,1,16,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B0H7V0,ED|ES,2,26,1.8307921313647788e-10,1.1308604639084399e-10,9.677479608142791e-11,1.3098001853624991e-10,403.15558658634444,165.38643855303025,156.03614768297138,241.52605760744868
vendor_A_Siemens,1,17,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B0I2Z0,ED|ES,2,24,1.6688104114748203e-10,2.4483360218930025e-10,3.2271011494684027e-10,2.448082527612075e-10,320.4623371744908,127.44314538822044,541.0485190812373,329.65133388131613
vendor_A_Siemens,1,18,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B2C2Z7,ED|ES,2,32,0.00018352005686784822,0.013923972072154067,0.0006497124073227416,0.0049190681787815525,128.03941985870767,59.05025618274912,291.7465868554641,159.61208763230698
vendor_A_Siemens,1,19,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B2D9M2,ED|ES,2,20,1.8504243669803823e-10,1.7009107443324083e-10,2.235184396589486e-10,1.9288398359674253e-10,541.0115525568747,173.43752399483407,541.0115525568747,418.4868763695278
vendor_A_Siemens,1,20,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B2G5R2,ED|ES,2,18,2.638522092701806e-10,1.9560620745307494e-10,2.1244861576126658e-10,2.2396901082817407e-10,540.9958410191339,147.1447179410984,160.4712081327491,282.8705890309938
vendor_A_Siemens,1,21,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B3F0V9,ED|ES,2,22,0.015943142845350335,0.047479484437090075,0.000760022958206956,0.021394216746882456,45.15434266153402,159.50681358210815,121.60102654553869,108.75406092972695
vendor_A_Siemens,1,22,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B3O1S0,ED|ES,2,22,0.08518953834227028,0.25513057678597967,0.1908347072552216,0.1770516074611572,37.28665608287824,20.49010652450363,16.556613649205605,24.777792085529157
vendor_A_Siemens,1,23,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B3P3R1,ED|ES,2,12,3.0595787905508125e-10,3.218692947231098e-10,5.482127413533306e-10,3.920133050438405e-10,540.9597951789024,166.0056244286526,540.9597951789024,415.97507159548576
vendor_A_Siemens,1,24,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B4O3V3,ED|ES,2,20,2.570379900378878e-10,1.2367727156512376e-10,2.51834969099063e-10,2.1085007690069153e-10,158.56984709139402,134.53112984990463,139.8877690274295,144.32958198957604
vendor_A_Siemens,1,25,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B5F8L9,ED|ES,2,24,0.08966124016767225,0.16363283421313654,0.3799017913329055,0.2110652885712381,41.05332779144737,147.72549862378753,58.76169292594208,82.51350644705899
vendor_A_Siemens,1,26,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B8H5H6,ED|ES,2,24,0.3424489343483347,0.2190215877946124,0.17632255436806715,0.24593102550367138,146.98811053112792,15.977701347555989,12.066168951671767,58.34399361011855
vendor_A_Siemens,1,27,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B8J7R4,ED|ES,2,24,2.2778906798610331e-10,0.011609907293677132,0.0004122013215283592,0.004007369614331519,336.2862593700837,118.99891142822524,290.48734528330175,248.59083869387027
vendor_A_Siemens,1,28,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B9E0Q1,ED|ES,2,26,0.5124992764232308,0.6441223762840076,0.6334337332829072,0.5966851286633819,12.096597113524698,4.139265433573868,3.5667261889577704,6.600862912018779
vendor_A_Siemens,1,29,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,B9H8N8,ED|ES,2,24,0.0035267716465186556,0.02390429524916994,2.7917971913881064e-10,0.009143689058289437,46.298856380920014,96.82384459031931,541.0485190812373,228.05707335082556
vendor_A_Siemens,1,30,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C0K1P0,ED|ES,2,24,0.43022889593762603,0.273373013539279,0.1173147106504729,0.2736388733757927,12.07179404423955,25.58477149913559,24.371631438967633,20.676065660780925
vendor_A_Siemens,1,31,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C1K8P5,ED|ES,2,24,2.4055030779416857e-10,0.029814100512843736,0.04709936842599399,0.025637823059796016,285.59907297229995,24.180693475932493,22.82218557543366,110.86731734122203
vendor_A_Siemens,1,32,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C2J0K3,ED|ES,2,24,3.0636721125580614e-10,1.1197798354127886e-10,2.1335983516141547e-10,2.1056834331950015e-10,541.0485190812373,151.63336017127318,154.83212286861115,282.5046673737072
vendor_A_Siemens,1,33,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C4E9I1,ED|ES,2,26,1.838635679404358e-10,9.45728363918908e-11,2.3894800530601784e-10,1.7246146987944815e-10,119.52493846030376,70.37005849278995,75.52835622604445,88.47445105971273
vendor_A_Siemens,1,34,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C5M4S2,ED|ES,2,24,0.0002396072452049183,0.21798715723790746,0.13085242273819558,0.1163597290737693,296.1123427044666,26.142221970194118,24.52255531271856,115.59237332912642
vendor_A_Siemens,1,35,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C6E0F9,ED|ES,2,24,0.047905028153088516,0.10804253532728125,0.018817626107364652,0.05825506319591147,292.02483018227036,25.985501153143183,285.821318081397,201.27721647227017
vendor_A_Siemens,1,36,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C6J5P1,ED|ES,2,24,0.04563990324316178,0.3880241744823941,0.48284524392626116,0.30550310721727236,49.95212552062512,14.09321581602865,6.224820240748662,23.423387192467473
vendor_A_Siemens,1,37,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C6U4W8,ED|ES,2,24,2.4829463014684935e-10,1.9169961577786158e-10,1.6541585179968347e-10,2.0180336590813147e-10,541.0485190812373,169.42223267015586,541.0485190812373,417.17309027754345
vendor_A_Siemens,1,38,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,C8P3S7,ED|ES,2,24,0.0017503941426526642,0.012984569258667124,4.0529890813817566e-10,0.004911654602206232,302.1618550137254,116.54092252590715,185.7479178458306,201.48356512848773
vendor_A_Siemens,1,39,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D0R0R9,ED|ES,2,16,5.448316101310134e-10,1.5568449364755038e-10,3.9352414527675577e-10,3.646800830184399e-10,540.9819775186601,140.7701545524074,160.35903099064808,280.7037210205719
vendor_A_Siemens,1,40,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D1H6U2,ED|ES,2,28,1.8006981427537981e-10,1.0431139444450279e-10,2.2998305410917557e-10,1.7145475427635275e-10,541.0928755768274,142.41577997912276,541.0928755768274,408.2005103775925
vendor_A_Siemens,1,41,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D1J5P6,ED|ES,2,24,0.00029140375178235363,0.01757607726853735,0.0034122636001979872,0.0070932482068392306,147.7201008630343,47.16680109840378,288.8409186246328,161.24260686202362
vendor_A_Siemens,1,42,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D1M1S6,ED|ES,2,28,1.7454301667952637e-10,1.0212837118167088e-10,1.3237406713025262e-10,1.3634848499714997e-10,102.91833666015253,119.71627468640779,541.0928755768274,254.57582897446255
vendor_A_Siemens,1,43,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D3D4Y5,ED|ES,2,24,2.205503016747672e-10,2.5941963224702236e-10,2.2330746525786855e-10,2.3442579972655274e-10,164.02779865576252,127.07064472172172,541.0485190812373,277.38232081957386
vendor_A_Siemens,1,44,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D3F3O5,ED|ES,2,24,0.17232786459783317,0.2974553593540528,0.2004344698626763,0.22340589793818744,15.303336453785672,14.186254543077727,21.489836801668574,16.99314259951066
vendor_A_Siemens,1,45,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D3F9H9,ED|ES,2,12,3.387970154839824e-10,3.692734084000833e-10,4.251821887740116e-10,3.777508708860258e-10,227.81561732685918,168.86408439498626,540.9597951789024,312.546498966916
vendor_A_Siemens,1,46,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D3O9U9,ED|ES,2,10,8.998370322841792e-10,3.016161091476407e-10,8.737215805362789e-10,6.917249073226996e-10,217.49610639209112,118.41995113731667,540.9514765669837,292.2891780321305
vendor_A_Siemens,1,47,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D4M3Q2,ED|ES,2,22,1.856653778767463e-10,1.3061631383601097e-10,1.365651967494307e-10,1.5094896282072932e-10,541.0291119708809,109.27963231757029,169.90825075431266,273.4056650142546
vendor_A_Siemens,1,48,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D4N6W6,ED|ES,2,20,2.74005101081443e-10,0.225527806206339,0.20642775101265928,0.14398518583100114,541.0115525568747,23.322419420210828,21.410975649077443,195.24831587538765
vendor_A_Siemens,1,49,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D8E4F4,ED|ES,2,24,1.8520396435384463e-10,0.122445485094989,0.2286250799003278,0.11702352172684026,104.32799970809018,128.0689964343926,101.07189791738894,111.15629801995725
vendor_A_Siemens,1,50,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D9F5P1,ED|ES,2,18,1.7850574124730997e-10,0.004624862732557099,1.7599049458369113e-10,0.0015416210290177784,44.12921076668914,37.83521593084244,540.9958410191339,207.65342257222184
vendor_A_Siemens,1,51,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,D9L1Z3,ED|ES,2,24,0.024328543184959698,0.006252695326967936,1.3155479551771625e-10,0.010193746214494143,54.137451507402176,298.51984924795346,541.0485190812373,297.90193994553096
vendor_A_Siemens,1,52,MeanTeacher_Patient1_Seed1_teacher_SPEGC-online,E0J7L9,ED|ES,2,18,0.039925503595137794,0.09569892492406208,0.03287918041715369,0.05616786964545118,293.94280253481804,280.04386205558535,87.01045277331119,220.33237245457153
