task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
23,A1K2P5,ED,7,A1K2P5_ED_slice007,8,4,0.8,0.19999999999999996,0.060815341770648956,0.20262347161769867
23,A1K2P5,ED,7,A1K2P5_ED_slice007,8,5,1.0,0.0,0.05857010930776596,0.26860305666923523
23,A1K2P5,ED,8,A1K2P5_ED_slice008,9,0,0.0,1.0,0.05959603190422058,0.09650110453367233
23,A1K2P5,ED,8,A1K2P5_ED_slice008,9,1,0.2,0.8,0.05251358449459076,0.12660576403141022
23,A1K2P5,ED,8,A1K2P5_ED_slice008,9,2,0.4,0.6,0.0484648160636425,0.14786472916603088
23,A1K2P5,ED,8,A1K2P5_ED_slice008,9,3,0.6,0.4,0.04442586749792099,0.17262840270996094
23,A1K2P5,ED,8,A1K2P5_ED_slice008,9,4,0.8,0.19999999999999996,0.04137028008699417,0.19408287107944489
23,A1K2P5,ED,8,A1K2P5_ED_slice008,9,5,1.0,0.0,0.03351195156574249,0.26231715083122253
23,A1K2P5,ED,9,A1K2P5_ED_slice009,10,0,0.0,1.0,0.03238682076334953,0.08454393595457077
23,A1K2P5,ED,9,A1K2P5_ED_slice009,10,1,0.2,0.8,0.028578639030456543,0.11570941656827927
23,A1K2P5,ED,9,A1K2P5_ED_slice009,10,2,0.4,0.6,0.023155005648732185,0.18091239035129547
23,A1K2P5,ED,9,A1K2P5_ED_slice009,10,3,0.6,0.4,0.02025153674185276,0.22981421649456024
23,A1K2P5,ED,9,A1K2P5_ED_slice009,10,4,0.8,0.19999999999999996,0.021747786551713943,0.20315591990947723
23,A1K2P5,ED,9,A1K2P5_ED_slice009,10,5,1.0,0.0,0.02282731607556343,0.18586412072181702
23,A1K2P5,ED,10,A1K2P5_ED_slice010,11,0,0.0,1.0,0.01642092503607273,0.08372308313846588
23,A1K2P5,ED,10,A1K2P5_ED_slice010,11,1,0.2,0.8,0.01270988304167986,0.16512145102024078
23,A1K2P5,ED,10,A1K2P5_ED_slice010,11,2,0.4,0.6,0.010956813581287861,0.2275829166173935
23,A1K2P5,ED,10,A1K2P5_ED_slice010,11,3,0.6,0.4,0.013213683851063251,0.15057773888111115
23,A1K2P5,ED,10,A1K2P5_ED_slice010,11,4,0.8,0.19999999999999996,0.012555508874356747,0.16985304653644562
23,A1K2P5,ED,10,A1K2P5_ED_slice010,11,5,1.0,0.0,0.011577596887946129,0.20314167439937592
23,A1K2P5,ED,11,A1K2P5_ED_slice011,12,0,0.0,1.0,0.10519152879714966,0.07627470791339874
