domain,seed,step,backbone_id,patient_id,phases,n_volumes,n_slices,dice_rv,dice_myo,dice_lv,dice_mean,hd95_rv,hd95_myo,hd95_lv,hd95_mean
vendor_A_Siemens,3,1,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A0S9V9,ED|ES,2,26,0.763712125484497,0.5857205115737719,0.8053434640859809,0.7182587003814166,3.57390753524675,6.25,2.75,4.191302511748916
vendor_A_Siemens,3,2,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A1D9Z7,ED|ES,2,26,0.21284944420497134,0.23804074718446955,0.13661161873687547,0.1958339367087721,27.40881432408161,12.410177256935226,21.126690550259212,20.315227377092018
vendor_A_Siemens,3,3,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A1E9Q1,ED|ES,2,26,0.8713956443709687,0.7479748146689784,0.9265517367823336,0.8486407319407602,2.5,2.6770509831248424,1.5,2.225683661041614
vendor_A_Siemens,3,4,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A2C0I1,ED|ES,2,24,0.8797246059157684,0.7289045407247595,0.8288140602894032,0.8124810689766436,1.75,4.5,2.25,2.8333333333333335
vendor_A_Siemens,3,5,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A2L1N6,ED|ES,2,26,0.772373374619095,0.4152029564469099,0.7670993183513449,0.6515585498057833,3.325227747574162,5.792057142567101,3.25,4.122428296713754
vendor_A_Siemens,3,6,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A2N8V0,ED|ES,2,22,0.8373836537660043,0.6904738490715077,0.8011552804572659,0.7763375944315927,1.6513878188659974,2.83113883008419,1.75,2.077508882983396
vendor_A_Siemens,3,7,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A3H1O5,ED|ES,2,22,0.8806802306024026,0.7549565141939554,0.8393710087637778,0.8250025845200453,1.25,2.5,2.25,2.0
vendor_A_Siemens,3,8,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A4B5U4,ED|ES,2,28,0.3199778895518197,0.6417634504578675,0.8988194731078617,0.6201869377058497,7.999701275257283,4.603289400478502,2.5,5.034330225245262
vendor_A_Siemens,3,9,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A4J4S4,ED|ES,2,22,0.7180092751554509,0.6564273935173275,0.7586606551834569,0.7110324412854118,4.593842598055912,4.75,3.486171258360698,4.2766712854722035
vendor_A_Siemens,3,10,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A4U9V5,ED|ES,2,24,0.8793017898556952,0.7954129216122877,0.8854898884816111,0.8534015333165313,1.75,1.9620479906458184,1.5,1.7373493302152727
vendor_A_Siemens,3,11,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A6B5G9,ED|ES,2,24,0.24913254706233712,0.6479080426812438,0.7741548939763747,0.5570651612399852,22.07332773193775,2.75,2.2332641117356786,9.018863947891143
vendor_A_Siemens,3,12,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A6D5F9,ED|ES,2,26,0.9138992439770227,0.7976866517490842,0.939716681233991,0.8837675256533659,1.6513878188659974,6.5360824815891485,1.0,3.0624901001517153
vendor_A_Siemens,3,13,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A7D9L8,ED|ES,2,16,0.710522590103589,0.7562451407535126,0.8122547281681998,0.7596741530084338,3.25,3.1770509831248424,3.1853460907238955,3.2041323579495793
vendor_A_Siemens,3,14,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A7M7P8,ED|ES,2,24,0.5578166083216699,0.6327122228924257,0.6564518074981376,0.6156602129040777,12.340009608437711,5.25,4.25,7.28000320281257
vendor_A_Siemens,3,15,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,A7O4T6,ED|ES,2,24,0.3885858513082472,0.5655681792524601,0.74100927120545,0.5650544339220525,13.047894427979855,3.9270509831248424,4.0,6.991648470368233
vendor_A_Siemens,3,16,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,B0H7V0,ED|ES,2,26,0.7516580465029743,0.5377876042370912,0.7949123870733898,0.6947860126044851,3.670736799007459,5.7986165960903495,2.75,4.073117798365936
vendor_A_Siemens,3,17,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,B0I2Z0,ED|ES,2,24,0.24091811297096374,0.2493613783002502,0.3488766240959704,0.2797187051223948,22.002419739983516,10.006868215126271,6.1310436740650065,12.713443876391596
vendor_A_Siemens,3,18,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,B2C2Z7,ED|ES,2,32,0.9015941879807754,0.6994950825679724,0.8733306751394353,0.8248066485627277,1.25,3.776355294579875,1.9226039399558574,2.316319744845244
vendor_A_Siemens,3,19,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,B2D9M2,ED|ES,2,20,0.5371125037456873,0.6767218318411774,0.7278978114422021,0.647244049009689,6.78318648760539,4.91547594742265,2.5,4.73288747834268
vendor_A_Siemens,3,20,MeanTeacher_Patient2_Seed3_teacher_SPEGC-online,B2G5R2,ED|ES,2,18,0.652643198952502,0.7260725823405666,0.8149836713021846,0.7312331508650844,4.8062430400804566,2.957737973711325,2.482526648950187,3.415502554247323
