task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
56,A0S9V9,ED,0,A0S9V9_ED_slice000,1,0,0.0,1.0,2.848582058655808e-17,0.18629330396652222
56,A0S9V9,ED,0,A0S9V9_ED_slice000,1,1,0.2,0.8,3.2921523681814484e-17,0.18629330396652222
56,A0S9V9,ED,0,A0S9V9_ED_slice000,1,2,0.4,0.6,3.6913319970472065e-16,0.18629330396652222
56,A0S9V9,ED,0,A0S9V9_ED_slice000,1,3,0.6,0.4,2.7689747603100098e-14,0.18629330396652222
56,A0S9V9,ED,0,A0S9V9_ED_slice000,1,4,0.8,0.19999999999999996,7.300740741122969e-12,0.18629330396652222
56,A0S9V9,ED,0,A0S9V9_ED_slice000,1,5,1.0,0.0,0.16761712729930878,0.06853348761796951
56,A0S9V9,ED,1,A0S9V9_ED_slice001,2,0,0.0,1.0,0.059603530913591385,0.09309926629066467
56,A0S9V9,ED,1,A0S9V9_ED_slice001,2,1,0.2,0.8,0.05441032722592354,0.10685667395591736
56,A0S9V9,ED,1,A0S9V9_ED_slice001,2,2,0.4,0.6,0.04714139178395271,0.12959295511245728
56,A0S9V9,ED,1,A0S9V9_ED_slice001,2,3,0.6,0.4,0.03516477718949318,0.1780821979045868
56,A0S9V9,ED,1,A0S9V9_ED_slice001,2,4,0.8,0.19999999999999996,0.02403140254318714,0.23929888010025024
56,A0S9V9,ED,1,A0S9V9_ED_slice001,2,5,1.0,0.0,0.02192307449877262,0.25307002663612366
56,A0S9V9,ED,2,A0S9V9_ED_slice002,3,0,0.0,1.0,0.03611293435096741,0.0821564719080925
56,A0S9V9,ED,2,A0S9V9_ED_slice002,3,1,0.2,0.8,0.027571525424718857,0.13567209243774414
56,A0S9V9,ED,2,A0S9V9_ED_slice002,3,2,0.4,0.6,0.024453308433294296,0.16293737292289734
56,A0S9V9,ED,2,A0S9V9_ED_slice002,3,3,0.6,0.4,0.021999768912792206,0.18819071352481842
56,A0S9V9,ED,2,A0S9V9_ED_slice002,3,4,0.8,0.19999999999999996,0.020318619906902313,0.2077188789844513
56,A0S9V9,ED,2,A0S9V9_ED_slice002,3,5,1.0,0.0,0.019085127860307693,0.22332441806793213
56,A0S9V9,ED,3,A0S9V9_ED_slice003,4,0,0.0,1.0,0.011106614023447037,0.0863436684012413
56,A0S9V9,ED,3,A0S9V9_ED_slice003,4,1,0.2,0.8,0.01032633613795042,0.10562176257371902
56,A0S9V9,ED,3,A0S9V9_ED_slice003,4,2,0.4,0.6,0.008616585284471512,0.16426095366477966
56,A0S9V9,ED,3,A0S9V9_ED_slice003,4,3,0.6,0.4,0.0079893097281456,0.19315019249916077
56,A0S9V9,ED,3,A0S9V9_ED_slice003,4,4,0.8,0.19999999999999996,0.007234824355691671,0.23470641672611237
56,A0S9V9,ED,3,A0S9V9_ED_slice003,4,5,1.0,0.0,0.007557892240583897,0.2159169614315033
56,A0S9V9,ED,4,A0S9V9_ED_slice004,5,0,0.0,1.0,0.008504563942551613,0.11982564628124237
56,A0S9V9,ED,4,A0S9V9_ED_slice004,5,1,0.2,0.8,0.007915138266980648,0.16622500121593475
56,A0S9V9,ED,4,A0S9V9_ED_slice004,5,2,0.4,0.6,0.007534901611506939,0.20530270040035248
56,A0S9V9,ED,4,A0S9V9_ED_slice004,5,3,0.6,0.4,0.00716404477134347,0.2522498369216919
56,A0S9V9,ED,4,A0S9V9_ED_slice004,5,4,0.8,0.19999999999999996,0.007943812757730484,0.16359920799732208
56,A0S9V9,ED,4,A0S9V9_ED_slice004,5,5,1.0,0.0,0.008964892476797104,0.09279754012823105
56,A0S9V9,ED,5,A0S9V9_ED_slice005,6,0,0.0,1.0,0.01119372621178627,0.12299252301454544
56,A0S9V9,ED,5,A0S9V9_ED_slice005,6,1,0.2,0.8,0.012779265642166138,0.08433368057012558
56,A0S9V9,ED,5,A0S9V9_ED_slice005,6,2,0.4,0.6,0.010261650197207928,0.15353801846504211
56,A0S9V9,ED,5,A0S9V9_ED_slice005,6,3,0.6,0.4,0.009382344782352448,0.18927747011184692
56,A0S9V9,ED,5,A0S9V9_ED_slice005,6,4,0.8,0.19999999999999996,0.008738587610423565,0.22061556577682495
56,A0S9V9,ED,5,A0S9V9_ED_slice005,6,5,1.0,0.0,0.008577406406402588,0.22924268245697021
56,A0S9V9,ED,6,A0S9V9_ED_slice006,7,0,0.0,1.0,0.011601021513342857,0.1137431189417839
56,A0S9V9,ED,6,A0S9V9_ED_slice006,7,1,0.2,0.8,0.011228907853364944,0.14731018245220184
56,A0S9V9,ED,6,A0S9V9_ED_slice006,7,2,0.4,0.6,0.010538510046899319,0.23801350593566895
56,A0S9V9,ED,6,A0S9V9_ED_slice006,7,3,0.6,0.4,0.011977476999163628,0.08756028860807419
56,A0S9V9,ED,6,A0S9V9_ED_slice006,7,4,0.8,0.19999999999999996,0.010923546738922596,0.18213513493537903
56,A0S9V9,ED,6,A0S9V9_ED_slice006,7,5,1.0,0.0,0.010580068454146385,0.23123779892921448
56,A0S9V9,ED,7,A0S9V9_ED_slice007,8,0,0.0,1.0,0.017573324963450432,0.08451084047555923
56,A0S9V9,ED,7,A0S9V9_ED_slice007,8,1,0.2,0.8,0.013945546001195908,0.16484972834587097
56,A0S9V9,ED,7,A0S9V9_ED_slice007,8,2,0.4,0.6,0.014528210274875164,0.14807528257369995
56,A0S9V9,ED,7,A0S9V9_ED_slice007,8,3,0.6,0.4,0.014295720495283604,0.15455347299575806
56,A0S9V9,ED,7,A0S9V9_ED_slice007,8,4,0.8,0.19999999999999996,0.012421069666743279,0.21828646957874298
56,A0S9V9,ED,7,A0S9V9_ED_slice007,8,5,1.0,0.0,0.012143774889409542,0.22972425818443298
56,A0S9V9,ED,8,A0S9V9_ED_slice008,9,0,0.0,1.0,0.019443659111857414,0.07994699478149414
56,A0S9V9,ED,8,A0S9V9_ED_slice008,9,1,0.2,0.8,0.01667793281376362,0.15001359581947327
56,A0S9V9,ED,8,A0S9V9_ED_slice008,9,2,0.4,0.6,0.01608707197010517,0.17160248756408691
56,A0S9V9,ED,8,A0S9V9_ED_slice008,9,3,0.6,0.4,0.015925617888569832,0.17802444100379944
56,A0S9V9,ED,8,A0S9V9_ED_slice008,9,4,0.8,0.19999999999999996,0.015346651896834373,0.2030940055847168
56,A0S9V9,ED,8,A0S9V9_ED_slice008,9,5,1.0,0.0,0.015049167908728123,0.21731843054294586
56,A0S9V9,ED,9,A0S9V9_ED_slice009,10,0,0.0,1.0,0.013150246813893318,0.08848953247070312
56,A0S9V9,ED,9,A0S9V9_ED_slice009,10,1,0.2,0.8,0.011838509701192379,0.11986090242862701
56,A0S9V9,ED,9,A0S9V9_ED_slice009,10,2,0.4,0.6,0.011013207025825977,0.14507508277893066
56,A0S9V9,ED,9,A0S9V9_ED_slice009,10,3,0.6,0.4,0.010211987420916557,0.17461782693862915
56,A0S9V9,ED,9,A0S9V9_ED_slice009,10,4,0.8,0.19999999999999996,0.008827469311654568,0.24053946137428284
56,A0S9V9,ED,9,A0S9V9_ED_slice009,10,5,1.0,0.0,0.008994597010314465,0.2314171940088272
56,A0S9V9,ED,10,A0S9V9_ED_slice010,11,0,0.0,1.0,0.011456401087343693,0.08394642174243927
56,A0S9V9,ED,10,A0S9V9_ED_slice010,11,1,0.2,0.8,0.009888296015560627,0.15481576323509216
56,A0S9V9,ED,10,A0S9V9_ED_slice010,11,2,0.4,0.6,0.008894377388060093,0.22819000482559204
